section,image_name,correct_answer
Perceptual,Q1.png,A
Perceptual,Q2.png,A
Perceptual,Q3.png,B
Perceptual,Q4.png,D
Perceptual,Q5.png,D
Perceptual,Q6.png,D
Perceptual,Q7.png,B
Perceptual,Q8.png,D
Spatial,Q1.png,D
Spatial,Q2.png,B
Spatial,Q3.png,C
Spatial,Q4.png,D
Spatial,Q5.png,A
Spatial,Q6.png,B
Spatial,Q7.png,B
Spatial,Q8.png,B
Verbal,Q1.png,A
Verbal,Q2.png,A
Verbal,Q3.png,B
Verbal,Q4.png,E
Verbal,Q5.png,D
Verbal,Q6.png,E
Verbal,Q7.png,B
Verbal,Q8.png,E
Abstract,Q1.png,D
Abstract,Q2.png,B
Abstract,Q3.png,B
Abstract,Q4.png,D
Abstract,Q5.png,A
Abstract,Q6.png,D
Abstract,Q7.png,D
Abstract,Q8.png,D
Numerical,Q1.png,D
Numerical,Q2.png,A
Numerical,Q3.png,B
Numerical,Q4.png,B
Numerical,Q5.png,A
Numerical,Q6.png,B
Numerical,Q7.png,A

